ALPHA_J2000,BH_MASS,DELTA_J2000,FLUXERR_F115W,FLUXERR_F150W,FLUXERR_F200W,FLUXERR_F277W,FLUXERR_F356W,FLUXERR_F444W,FLUXERR_F606W,FLUXERR_F814W,FLUX_F115W,FLUX_F150W,FLUX_F200W,FLUX_F277W,FLUX_F356W,FLUX_F444W,FLUX_F606W,FLUX_F814W,REDSHIFT,SURVEY,SURVEY_ID
34.33825631311373,7.085047479944869,-5.280893052771556,3.2041863272469294e-09,2.5291577546306453e-09,2.6558770849556994e-09,9.760291065664081e-09,1.0156189803189762e-08,1.4180819926591536e-08,6.12421496883981e-09,5.389832912451637e-09,3.4383582451500203e-08,3.729338415226462e-08,5.311754169911399e-08,1.9520582131328161e-07,2.0312379606379523e-07,2.836163985318307e-07,3.3018919704488416e-08,3.951190912164875e-08,3.685623554378137,PRIMER-UDS,56116
34.33731062660385,8.999757901390625,-5.143661014551025,1.5061337037666804e-08,7.056580960587436e-08,1.6466867887545866e-07,2.8588357936610043e-07,3.7601476039748355e-07,3.7425393196599706e-07,2.574017874823178e-09,3.4452189579057033e-09,3.012267407533361e-07,1.4113161921174873e-06,3.293373577509173e-06,5.717671587322009e-06,7.52029520794967e-06,7.485078639319941e-06,8.711493771762088e-09,6.890437915811407e-08,4.559697224748681,PRIMER-UDS,221999
34.22374980792672,7.227159064089052,-5.260210411350998,4.402304017710317e-09,2.8475128618015793e-09,2.7474323480303136e-09,6.696924792363435e-09,1.2962402001210739e-08,1.3404164468956835e-08,3.0458898828499726e-09,3.879095342197372e-09,1.5220210412842704e-08,1.5034689383518e-08,4.2017308847194734e-08,1.339384958472687e-07,2.592480400242148e-07,2.680832893791367e-07,2.0552162727294412e-09,1.0621705235706098e-08,4.130242519448266,PRIMER-UDS,83894
34.241811485516884,7.533443093982195,-5.239400156138579,3.3592123395192494e-09,3.01825873742952e-09,2.1048193259058405e-09,7.236690590187742e-09,1.006472778288092e-08,1.8876828670562433e-08,3.406396295748351e-09,3.2161660002713843e-09,6.686141007394706e-09,1.7090236142669907e-08,3.4165701585860585e-08,1.4473381180375484e-07,2.0129455565761838e-07,3.775365734112486e-07,1.6666851303389042e-08,1.7294029772162016e-08,3.4984249628287953,PRIMER-UDS,108492
189.11483517959786,5.233521298429337,62.240053034214554,2.7439800738427316e-09,3.204518613754136e-09,5.689767990678253e-09,3.841007081585645e-09,2.432668755172827e-09,2.6056045567037984e-09,2.5810191399718413e-09,2.6591591865349984e-09,5.487960147685463e-08,6.409037227508272e-08,1.1379535981356506e-07,7.682014163171291e-08,4.865337510345654e-08,5.211209113407597e-08,5.162038279943683e-08,5.318318373069997e-08,2.9887083397196057,JADES-DR3-GN-Medium,14640
189.10774674855887,6.31594140166205,62.269533188453465,3.95718671154301e-09,4.837925923779471e-09,7.186575882781767e-09,1.0679349751101383e-08,7.628167087800316e-09,8.599411679307346e-09,3.1957189428035914e-09,3.924778047223e-09,7.914373423086022e-08,9.675851847558942e-08,1.4373151765563535e-07,2.1358699502202765e-07,1.5256334175600632e-07,1.7198823358614692e-07,6.391437885607183e-08,7.849556094446e-08,3.66481288132049,JADES-DR3-GN-Medium,11792
53.17175833206764,5.392357398874741,-27.752329689330757,5.781770525895062e-09,8.302132727529803e-09,7.620837742358765e-09,7.360208760643213e-09,7.3939095379665206e-09,7.509336949770789e-09,4.180376914423448e-09,4.315291958011138e-09,1.1563541051790122e-07,1.6604265455059605e-07,1.524167548471753e-07,1.4720417521286425e-07,1.478781907593304e-07,1.5018673899541578e-07,8.360753828846895e-08,8.630583916022276e-08,1.995768238300176,JADES-DR3-GS-East,34757
34.45247827641034,6.933697514379903,-5.154728172832676,2.6241337447420166e-09,2.1047781695028865e-09,4.068700641494599e-09,9.242717852357672e-09,1.302883808727826e-08,1.3519614522766205e-08,3.6681961140644273e-09,4.380273560597591e-09,2.1826055314300784e-08,3.7543166298934954e-08,8.137401282989198e-08,1.8485435704715344e-07,2.605767617455652e-07,2.703922904553241e-07,1.0560448856654924e-08,9.41633692380531e-09,2.4888125989695937,PRIMER-UDS,208439
34.41074183650892,7.963448322007913,-5.129681006351439,2.3113646384525086e-09,1.813529295555875e-09,1.2983338964430148e-08,4.8142068487646506e-08,5.717312616824418e-08,7.387095679535005e-08,5.37430354777973e-09,5.705293507622901e-09,2.9493890021336913e-08,3.62705859111175e-08,2.59666779288603e-07,9.6284136975293e-07,1.1434625233648836e-06,1.477419135907001e-06,1.499473854288399e-08,2.6068583987445496e-08,3.545867993949699,PRIMER-UDS,245058
34.4533472762435,7.371249405833455,-5.2707381681163605,2.9309048456308727e-09,2.3635004706923764e-09,2.0391180801828235e-09,1.7058812057382082e-09,2.9296254557898695e-09,5.880149475454215e-09,3.2033801876790825e-09,4.469148036256219e-09,3.811642750981857e-08,2.458412368119234e-08,2.3787326089497483e-08,3.4117624114764164e-08,5.859250911579739e-08,1.176029895090843e-07,-1.43865827277806e-09,1.880728356509603e-08,5.440248363044704,PRIMER-UDS,69070
