F277W_best_model,F356W_best_model,F444W_best_model,REDSHIFT,SURVEY,SURVEY_ID,best_F277W_RFF,best_F277W_n_mean,best_F277W_n_sd,best_F277W_r_eff_mean,best_F277W_r_eff_sd,best_F356W_RFF,best_F356W_n_mean,best_F356W_n_sd,best_F356W_r_eff_mean,best_F356W_r_eff_sd,best_F444W_RFF,best_F444W_n_mean,best_F444W_n_sd,best_F444W_r_eff_mean,best_F444W_r_eff_sd
PS,PS,PS,3.685623554378137,PRIMER-UDS,56116,0.1015435628769768,0.682,0.031,7.117000000000001,0.305,0.05043549912161843,0.728,0.07200000000000001,6.3260000000000005,0.485,0.009491545228868838,0.83,0.222,5.518,0.545
single,single,single,4.559697224748681,PRIMER-UDS,221999,0.03776474610966848,0.7929999999999999,0.01,0.5,0.0,0.027236608872725495,0.778,0.018000000000000002,0.501,0.001,0.02272735105353995,0.68,0.015,0.5329999999999999,0.006999999999999999
single,single,single,4.130242519448266,PRIMER-UDS,83894,-0.03327250516555717,0.821,0.099,0.516,0.015,-0.014536553197679828,0.8059999999999999,0.073,0.51,0.01,-0.012878231254459391,0.9740000000000001,0.264,0.924,0.094
single,single,single,3.4984249628287953,PRIMER-UDS,108492,0.012796869422893,0.8190000000000001,0.091,0.515,0.013999999999999999,0.009679368280538005,0.81,0.08800000000000001,0.515,0.013999999999999999,-0.0003548131956097359,0.8809999999999999,0.174,0.539,0.032
single,single,single,2.9887083397196057,JADES-DR3-GN-Medium,14640,-0.021320037543696303,4.738,1.06,1.76,0.14300000000000002,-0.03468707748767655,3.8289999999999997,0.895,2.7710000000000004,0.225,-0.04509442365780861,6.04,1.33,2.044,0.377
single,single,single,3.66481288132049,JADES-DR3-GN-Medium,11792,0.04799662664359636,2.866,0.34700000000000003,1.456,0.042,0.016378647661948485,0.972,0.126,2.073,0.053,-0.018439136353146486,2.405,0.483,1.999,0.099
single,single,single,1.995768238300176,JADES-DR3-GS-East,34757,0.00251332772398877,0.65,0.0,7.485,0.016,-0.0398881056122898,0.65,0.0,7.343999999999999,0.018000000000000002,-0.09333387201352729,0.65,0.0,7.229,0.024
single,single,PS,2.4888125989695937,PRIMER-UDS,208439,-0.0023995761586123212,0.8140000000000001,0.078,0.511,0.01,-0.006200343375865953,0.797,0.057,0.507,0.006999999999999999,-0.01825626846531043,3.37,2.428,5.822,2.499
single,single,single,3.545867993949699,PRIMER-UDS,245058,0.02408942323845768,0.84,0.048,0.503,0.003,0.024453678480624564,1.194,0.085,0.506,0.006,0.008459285222322187,2.0140000000000002,0.064,0.502,0.002
single,single,single,5.440248363044704,PRIMER-UDS,69070,-0.033711878824261944,2.773,2.369,0.732,0.263,-0.05201846917255141,1.5619999999999998,0.833,0.619,0.091,-0.021362749006574755,0.8959999999999999,0.183,0.541,0.037000000000000005
single,single,single,4.710174890409039,PRIMER-UDS,94378,0.006503309790767758,1.103,0.281,1.371,0.09,-0.0011864725052142624,1.9780000000000002,0.6509999999999999,0.619,0.08199999999999999,-0.014620050304259799,1.2409999999999999,0.441,0.71,0.12300000000000001
PS,PS,PS,3.6181747685893706,PRIMER-UDS,237731,0.02188989496479996,4.632,2.213,3.675,2.484,0.010306295153237138,4.495,2.209,3.497,2.44,0.012161533640555347,4.507,2.214,3.873,2.6719999999999997
single,single,single,4.686400349465428,PRIMER-UDS,130917,-0.0026378423389898,2.9130000000000003,0.552,0.574,0.057,0.024076858582352874,0.795,0.062,0.508,0.008,0.014219459058593419,0.852,0.17,0.591,0.053
single,single,single,2.9218729533818197,JADES-DR3-GN-Deep,7193,-0.018399784507250484,3.943,1.033,1.374,0.105,-0.03194676492076252,2.628,0.9359999999999999,1.4769999999999999,0.12,-0.08517272557050362,3.8280000000000003,1.791,1.504,0.24600000000000002
PS,single,,5.2710159635441345,CEERSP2,5881,0.0209649365858143,0.711,0.049,5.17,0.182,0.023235337189495157,4.208,0.48,2.786,0.099,,,,,
single,single,single,4.7057429381185525,CEERSP3,6122,0.003871515393373328,4.473,1.249,0.629,0.068,-0.013532101726418576,4.893,1.4769999999999999,0.589,0.071,-0.045014389474357736,5.947,1.7180000000000002,1.0979999999999999,0.397
single,single,single,3.838474531469828,CEERSP5,3919,0.01725833837853283,1.5130000000000001,0.071,3.1060000000000003,0.05,0.018904833136048016,1.0659999999999998,0.055,2.8810000000000002,0.04,0.014416410561494689,1.102,0.11699999999999999,2.719,0.071
single,single,single,2.990447159103819,PRIMER-COSMOS,133273,0.018211814876541436,0.818,0.092,0.515,0.013999999999999999,-0.0013850494770753067,0.856,0.138,0.53,0.027000000000000003,-0.015273832612417307,0.966,0.24,0.5539999999999999,0.046
single,single,single,3.8054937480860396,PRIMER-UDS,23392,-0.03859598447676905,0.9470000000000001,0.223,0.542,0.040999999999999995,-0.02014787245606059,1.078,0.32,0.58,0.064,-0.03470219495733534,2.8289999999999997,1.76,0.715,0.163
single,single,single,2.6545174635774873,PRIMER-COSMOS,93339,-0.06825944999348361,1.037,0.092,4.294,0.127,-0.06953919950068929,0.9990000000000001,0.09699999999999999,4.388,0.154,-0.07435619896173663,1.246,0.193,4.769,0.245
single,single,single,4.680949891893533,JADES-DR3-GN-Medium,7903,0.008643807086559319,0.889,0.172,0.534,0.03,-0.019993573120378492,0.965,0.22899999999999998,0.5579999999999999,0.047,-0.008295159593730882,0.987,0.275,0.56,0.055
single,single,single,3.5190679077690534,CEERSP6,1444,0.032985120616677424,6.745,0.897,0.845,0.059000000000000004,0.03927326067060578,2.193,0.8640000000000001,0.866,0.114,0.04162197081376295,5.524,1.838,0.628,0.10099999999999999
single,single,single,3.699425664569624,PRIMER-UDS,104399,0.009259659877140227,6.153,1.284,0.6970000000000001,0.10099999999999999,0.0056113427035200695,1.8419999999999999,0.616,0.929,0.125,-0.02351472624289496,1.3659999999999999,0.565,0.6809999999999999,0.131
single,single,single,5.672939348734044,PRIMER-UDS,115903,-0.05005832649100067,0.946,0.183,2.87,0.12300000000000001,-0.003337694582492245,2.112,0.27899999999999997,1.8940000000000001,0.06,-0.01895833002687777,2.569,0.568,1.042,0.087
single,single,single,5.535464986066612,JADES-DR3-GN-Deep,5090,0.0014121896708500054,1.037,0.184,1.982,0.068,0.02284267467083168,0.6679999999999999,0.015,1.7790000000000001,0.025,-0.020085696381469953,0.733,0.061,1.864,0.053
single,single,single,6.760269979874092,JADES-DR3-GN-Medium,8875,-0.019203884136892998,1.14,0.579,3.089,0.309,0.06292006942111127,0.685,0.027999999999999997,2.506,0.053,0.061016754486109784,2.099,0.52,1.5419999999999998,0.113
PS,single,single,4.223775672905222,CEERSP9,8153,0.023490852180446074,0.7340000000000001,0.068,6.652,0.405,-0.0019157735312497449,0.7979999999999999,0.037000000000000005,0.503,0.003,-0.008941991778476637,0.8,0.043,0.504,0.004
PS,PS,single,3.2516446057467094,CEERSP6,5480,-0.03639163632538549,1.6780000000000002,0.032,4.248,0.019,-0.01205467656522378,1.7080000000000002,0.039,4.181,0.022000000000000002,-0.028652171549187755,4.506,0.052000000000000005,2.752,0.02
single,single,single,4.6561448148506,PRIMER-UDS,57337,-0.0896490474715755,1.453,0.83,0.636,0.113,-0.01733709501843802,2.112,1.145,0.9059999999999999,0.179,-0.014334243404538326,1.757,0.9490000000000001,0.6970000000000001,0.141
PS,single,single,5.919054204109247,JADES-DR3-GS-East,37806,0.0123403284207772,0.711,0.053,6.688,0.384,-0.006186442175403748,7.278,0.5670000000000001,0.665,0.026000000000000002,-0.019050945490779885,1.7269999999999999,0.442,0.755,0.078
single,single,single,4.0232926264174305,JADES-DR3-GS-East,16066,0.05875970331810327,7.997999999999999,0.002,3.0380000000000003,0.024,0.009990934037322066,5.376,0.147,5.0969999999999995,0.13699999999999998,-0.01164008757112193,4.936,0.239,6.816,0.317
single,single,single,6.719084546201944,CEERSP10,3691,-0.048835316573574886,2.937,1.847,1.136,0.21,-0.001764527766849961,2.467,1.105,0.723,0.14,-0.012695581688260803,1.306,0.529,0.7040000000000001,0.165
single,single,single,4.929483717024197,JADES-DR3-GS-East,41218,0.04966075001446234,0.657,0.006999999999999999,2.521,0.028999999999999998,-0.02373923407285263,0.6970000000000001,0.037000000000000005,2.499,0.07,-0.04907070113171196,0.799,0.125,2.323,0.124
single,single,single,4.701443464015267,JADES-DR3-GN-Deep,29048,0.04328256415784611,1.07,0.032,2.168,0.013999999999999999,0.035285266309341715,5.315,0.258,3.25,0.08900000000000001,-0.01839355170628038,2.9819999999999998,0.516,1.939,0.07
single,single,single,2.7070481287719765,JADES-DR3-GN-Deep,16313,0.07047955048831621,0.6829999999999999,0.03,4.7669999999999995,0.105,0.015772496726907743,0.67,0.019,4.59,0.099,-0.08175902906792017,0.754,0.076,5.26,0.23199999999999998
single,PS,single,3.4296688579869317,JADES-DR3-GN-Deep,6999,0.040127884691182295,0.78,0.035,0.503,0.003,0.021121102390396312,4.75,2.137,4.375,2.897,-0.01264890781788592,0.7959999999999999,0.065,0.509,0.009000000000000001
PS,single,single,5.041315472105793,JADES-DR3-GN-Deep,26895,-0.07463717264464835,0.65,0.0,8.051,0.021,-0.05550982913176324,7.999,0.001,0.858,0.005,-0.026482763940638844,7.997000000000001,0.003,0.7240000000000001,0.003
